Year,TeamID,EngineId
2003,6,1
2003,3,2
2003,1,3
2003,4,4
2003,15,1
2003,17,5
2003,19,6
2003,16,7
2003,18,6
2003,7,8
2004,6,1
2004,3,2
2004,1,3
2004,4,4
2004,16,7
2004,15,1
2004,19,6
2004,7,8
2004,17,5
2004,18,6
2005,6,1
2005,16,7
2005,4,4
2005,3,2
2005,1,3
2005,15,1
2005,9,6
2005,7,8
2005,17,8
2005,18,6
2006,4,4
2006,1,3
2006,6,1
2006,7,8
2006,3,6
2006,11,7
2006,9,1
2006,2,2
2006,13,8
2006,14,8
2006,5,2
2006,8,7
2007,1,3
2007,4,4
2007,6,1
2007,11,7
2007,2,2
2007,7,8
2007,9,4
2007,3,8
2007,5,9
2007,12,9
2007,8,7
2008,6,1
2008,2,2
2008,4,4
2008,3,8
2008,9,4
2008,7,8
2008,5,1
2008,11,7
2008,8,7
2008,10,1
2008,1,3
2009,1,3
2009,6,1
2009,2,2
2009,4,4
2009,7,8
2009,5,1
2009,9,4
2009,3,8
2009,10,3
2009,23,3
2010,1,3
2010,131,3
2010,9,4
2010,6,1
2010,3,6
2010,4,4
2010,10,3
2010,5,1
2010,205,6
2010,164,6
2010,15,1
2010,166,6
2011,1,3
2011,131,3
2011,9,4
2011,6,1
2011,3,6
2011,4,4
2011,10,3
2011,5,1
2011,205,4
2011,164,6
2011,15,1
2011,166,6
2012,1,3
2012,131,3
2012,9,4
2012,6,1
2012,3,4
2012,208,4
2012,10,3
2012,5,1
2012,207,4
2012,164,6
2012,15,1
2012,206,6
2013,1,3
2013,131,3
2013,9,4
2013,6,1
2013,3,4
2013,208,4
2013,10,3
2013,5,1
2013,207,4
2013,206,6
2013,15,1
2014,1,3
2014,131,3
2014,9,4
2014,6,1
2014,3,3
2014,208,4
2014,10,3
2014,5,4
2014,207,4
2014,206,1
2014,15,1
2015,1,7
2015,131,3
2015,9,4
2015,6,1
2015,3,3
2015,208,3
2015,10,3
2015,5,4
2015,15,1
2015,209,1
2016,1,7
2016,131,3
2016,9,4
2016,6,1
2016,3,3
2016,4,4
2016,10,3
2016,5,9
2016,15,1
2016,209,3
2016,210,1
2017,1,7
2017,131,3
2017,9,4
2017,6,1
2017,3,3
2017,4,4
2017,10,3
2017,5,4
2017,15,9
2017,210,1
2018,1,4
2018,131,3
2018,9,4
2018,6,1
2018,3,3
2018,4,4
2018,10,3
2018,5,7
2018,15,1
2018,210,1
2019,1,4
2019,131,3
2019,9,7
2019,6,1
2019,3,3
2019,4,4
2019,10,3
2019,5,7
2019,15,1
2019,210,1
2020,1,4
2020,131,3
2020,9,7
2020,6,1
2020,3,3
2020,4,4
2020,10,3
2020,5,7
2020,15,1
2020,210,1
